cluster_id,cluster,keywords,total_search_volume_us,median_difficulty,total_traffic_potential,p1_keywords,mean_priority_score
on-page-seo,站内 SEO,10,9560,22.0,760500.0,2,49.5
core-seo-services,核心 SEO 服务,10,136660,4.0,113950.0,7,69.3
authority-building,外链与数字公关,10,21480,17.0,41950.0,3,54.4
technical-seo,技术 SEO,14,23950,15.0,35490.0,3,51.7
ai-search-and-geo,AI 搜索与 GEO,11,30850,27.0,31180.0,3,55.1
content-and-keyword-strategy,关键词与内容策略,11,9490,15.5,16550.0,2,50.0
programmatic-seo,程序化 SEO,10,2970,2.0,2160.0,0,43.3
